college,college_name
1,"University Departments of Anna University, Chennai - CEG Campus"
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai"
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet"
5,"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam"
1013,University College of Engineering Villupuram- Villupuram (Dist)
1014,"University College of Engineering, Tindivanam, Villupuram (Dist)"
1015,University College of Engineering- Arni- Thiruvannamalai (Dist)
1026,University College of Engineering- Kanchipuram
1101,"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]"
1106,"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]"
1107,"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)"
1110,Prathyusha Institute of Technology and Management - Tiruvallur
1112,"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)"
1113,"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)"
1114,"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]"
1115,"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]"
1116,"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)"
1118,"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]"
1120,"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]"
1121,Sri Venkateswara Institute of Science and Technology -Tiruvallur (Dist)
1122,"Vel High Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]"
1123,"Gojan School of Business and Technology - Redhills,Chennai [Tiruvallur (Dist)]"
1124,Sams College of Engineering and Technology - Tiruvallur (Dist)
1125,"PMR Engineering College -Maduravoyil , Chennai [Tiruvallur (Dist)]"
1126,JNN Institute of Engineering - Thiruvallur (Dist)
1127,"St. Peters College of Engineering and Technology, College Road, Avadi, Chennai"
1128,"R.M.K. College of Engineering and Technology,Gummidipoondi, Tiruvallur (Dist)"
1131,"Vel Tech -Avadi, Chennai [Tiruvallur (Dist)]"
1133,Annai Veilankanni's College of Engineering - Kancheepuram (Dist)
1137,Annai Mira College of Engineering and Technology - Vellore (Dist)
1139,Siva Institute of Frontier Technology Thiruvallur
1140,Jeppiaar Institute of Technology Kancheepuram
1141,"R.V.S. Padmavathy College of Engineering & Technology, Thiruvallur"
1149,St.Joseph's Institute of Technology Kancheepuram
1201,"Arignar Anna Institute of Science and Technology - SriPerumbudur,Chennai [Kancheepuram(Dist)]"
1202,"DMI College of Engineering -Sriperumbudur, Chennai [Kancheepuram(Dist)]"
1205,"Lord Venkateshwara Engineering College - Puliyambakkam,Ã‚ Kancheepuram (Dist)"
1206,"Maamallan Institute of Technology - Sriperumbudur,Kancheepuram(Dist)"
1207,"Kings Engineering College - Sriperumbudur, Kancheepuram(Dist)"
1208,Kanchi Pallavan Engineering College - Kancheepuram
1209,Pallavan College of Engineering - Kancheepuram
1210,"Panimalar Engineering College -Poonamalee, Chennai [Tiruvallur (Dist)]"
1211,"Rajalakshmi Engineering College - Thandalam, Chennai [Kancheepuram(Dist)]"
1212,Rajiv Gandhi College of Engineering - Chennai [Kancheepuram(Dist)]
1213,"S.K.R Engineering College -Poonmallee, Chennai"
1214,"Sakthi Mariamman Engineering College - Thandalam, Chennai [Kancheepuram(Dist)]"
1216,"Saveetha Engineering College - Thandalam, Chennai [Kancheepuram(Dist)]"
1217,"Sree Sastha Institute of Engineering and Technology -Poonamallee,Chennai"
1218,"Sri Muthukumaran Institute of Technology - Kunrathur, Chennai [Kancheepuram(Dist)]"
1219,"Sri Venkateswara College of Engineering - Sriperumbadur,Kancheepuram(Dist)"
1221,"Srinivasa Institute of Engineering and Technology - Poonamallee, Chennai [Tiruvallur ( Dist)]"
1222,"P.B. College of Engineering - Irungkatukottai, Chennai [Kancheepuram(Dist)]"
1225,"Loyola Institute of Technology - Sriperumbudur,Kanchipuram"
1226,P.T. Lee Chengalvaraya Naicker College of Enggineering and Technology - Kanchipuram
1228,"Alpha College of Engineering -Poonamallee, Chennai"
1229,Indira Institute of Engineering and Technology - Tiruvallur (Dist)
1230,"Apollo Engineering College - Sriperumbadur,Kancheepuram(Dist)"
1231,"Panimalar Institute of Technology - Poonmallee, Chennai"
1232,"ARM College of Engineering and Technology - Chengalpet,Kancheepuram (Dist)"
1233,Adhi College of Engineering and Technology - Kanchipuram
1234,Indira Gandhi College of Engineering and Technology for Women - Chengalpattu [Kanchipuram(Dist)]
1235,JEI Mathaajee College of Engineering - Kanchipuram(Dist)
1237,"Velammal Institute of Technology - Ponneri, Tiruvallur (Dist)"
1238,"BKR College of Engineering and Technology - Tiruttani, [Tiruvallur(Dist)]"
1241,T.J.S. Engineering College - Thiruvallur (Dist)
1242,Sree Sastha College of Engineering -Thiruvallur(Dist)
1243,Madha Institute of Engineering and Technology - Kancheepuram(Dist)
1301,"Mohamed Sathak A.J.College of Engineering - Kelambakkam, Chennai"
1303,Anand Institute of Higher Technology - Chennai [Kanchipuram(Dist)]
1304,"Easwari Engineering College - Ramapuram, Chennai [ Thiruvallur(Dist)]"
1306,"Jeppiaar Engineering College - Sholinganallur, Chennai"
1307,"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]"
1309,"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai"
1310,"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]"
1311,"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]"
1313,"Shree Motilal Kanhaiyalal Fomra Institute of Technology - Thaiyur, Kanchipuram (Dist)"
1315,"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)"
1316,"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]"
